Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,Arkansas,Crittenden County,35.20746,-90.30873,AR,35.0,48381.0,42384.0,0.2101,2020 ACS 5yr
2020-01-01,Arkansas,Lawrence County,36.04124,-91.10704,AR,75.0,16511.0,40587.0,0.14,2020 ACS 5yr
2020-01-01,Arkansas,Washington County,35.97901,-94.21557,AR,143.0,236198.0,52380.0,0.1598,2020 ACS 5yr
2020-01-01,Arkansas,Pike County,34.16347,-93.6564,AR,109.0,10714.0,42983.0,0.1673,2020 ACS 5yr
2020-01-01,Arkansas,Logan County,35.21532,-93.71623,AR,83.0,21619.0,44232.0,0.1639,2020 ACS 5yr
2020-01-01,Arkansas,Ashley County,33.19118,-91.76844,AR,3.0,20000.0,43601.0,0.162,2020 ACS 5yr
2020-01-01,Arkansas,Lafayette County,33.24099,-93.60703,AR,73.0,6728.0,33763.0,0.2471,2020 ACS 5yr
2020-01-01,Arkansas,Poinsett County,35.57402,-90.66295,AR,111.0,23747.0,40700.0,0.2044,2020 ACS 5yr
2020-01-01,Arkansas,Bradley County,33.46641,-92.16234,AR,11.0,10805.0,41808.0,0.1571,2020 ACS 5yr
2020-01-01,Arkansas,Baxter County,36.28712,-92.33692,AR,5.0,41673.0,43504.0,0.127,2020 ACS 5yr
2020-01-01,Arkansas,Mississippi County,35.7631,-90.05299,AR,93.0,41396.0,42986.0,0.2143,2020 ACS 5yr
2020-01-01,Arkansas,Van Buren County,35.58062,-92.51569,AR,141.0,16578.0,40442.0,0.1633,2020 ACS 5yr
2020-01-01,Arkansas,Montgomery County,34.53885,-93.65953,,,,,,2020 ACS 5yr
2020-01-01,Arkansas,Lonoke County,34.75425,-91.88866,AR,85.0,73163.0,59278.0,0.1197,2020 ACS 5yr
2020-01-01,Arkansas,White County,35.25619,-91.74563,AR,145.0,78725.0,44000.0,0.1436,2020 ACS 5yr
2020-01-01,Arkansas,Saline County,34.64659,-92.67646,AR,125.0,120990.0,66876.0,0.0842,2020 ACS 5yr
2020-01-01,Arkansas,Perry County,34.9474,-92.9313,AR,105.0,10342.0,44926.0,0.162,2020 ACS 5yr
2020-01-01,Arkansas,Carroll County,36.34103,-93.53824,AR,15.0,28062.0,48249.0,0.1519,2020 ACS 5yr
2020-01-01,Arkansas,Phillips County,34.42807,-90.84852,,,,,,2020 ACS 5yr
2020-01-01,Arkansas,Jefferson County,34.26879,-91.93152,AR,69.0,68123.0,40402.0,0.2078,2020 ACS 5yr
2020-01-01,Arkansas,Washington County,35.97901,-94.21556,AR,143.0,236198.0,52380.0,0.1598,2020 ACS 5yr
2020-01-01,Arkansas,St. Francis County,35.02198,-90.74786,AR,123.0,25477.0,36053.0,0.2843,2020 ACS 5yr
2020-01-01,Arkansas,Independence County,35.74157,-91.56966,AR,63.0,37585.0,48972.0,0.152,2020 ACS 5yr
2020-01-01,Arkansas,Sevier County,33.99722,-94.24123,AR,133.0,16947.0,47872.0,0.1978,2020 ACS 5yr
2020-01-01,Arkansas,Sebastian County,35.19971,-94.27398,AR,131.0,127670.0,47878.0,0.1674,2020 ACS 5yr
2020-01-01,Arkansas,Union County,33.17136,-92.5972,AR,139.0,39089.0,45293.0,0.1968,2020 ACS 5yr
2020-01-01,Arkansas,Ouachita County,33.59335,-92.88187,AR,103.0,23597.0,38279.0,0.2164,2020 ACS 5yr
2020-01-01,Arkansas,Franklin County,35.51248,-93.89046,AR,47.0,17785.0,37561.0,0.2225,2020 ACS 5yr
2020-01-01,Arkansas,Hot Spring County,34.31766,-92.94615,AR,59.0,33667.0,46390.0,0.1534,2020 ACS 5yr
2020-01-01,Arkansas,Randolph County,36.34146,-91.02757,AR,121.0,17934.0,42844.0,0.1894,2020 ACS 5yr
2020-01-01,Arkansas,Pulaski County,34.76997,-92.31186,AR,119.0,393078.0,52930.0,0.1577,2020 ACS 5yr
2020-01-01,Arkansas,Benton County,36.33875,-94.25617,AR,7.0,273510.0,71556.0,0.0857,2020 ACS 5yr
2020-01-01,Arkansas,Chicot County,33.2674,-91.29395,AR,17.0,10433.0,33523.0,0.2822,2020 ACS 5yr
2020-01-01,Arkansas,Dallas County,33.96986,-92.65439,AR,39.0,7114.0,35134.0,0.1343,2020 ACS 5yr
2020-01-01,Arkansas,Sebastian County,35.59417,-94.25806,AR,131.0,127670.0,47878.0,0.1674,2020 ACS 5yr
2020-01-01,Arkansas,Madison County,36.01094,-93.72449,AR,87.0,16393.0,41446.0,0.1732,2020 ACS 5yr
2020-01-01,Arkansas,Cross County,35.29573,-90.77113,AR,37.0,16576.0,44379.0,0.1719,2020 ACS 5yr
2020-01-01,Arkansas,Yell County,35.00267,-93.41114,AR,149.0,21425.0,47981.0,0.1477,2020 ACS 5yr
2020-01-01,Arkansas,Hempstead County,33.73531,-93.66835,AR,57.0,21695.0,45484.0,0.2205,2020 ACS 5yr
2020-01-01,Arkansas,Faulkner County,35.14702,-92.33201,AR,45.0,124800.0,54191.0,0.1569,2020 ACS 5yr
2020-01-01,Arkansas,Jackson County,35.59911,-91.21477,AR,67.0,16908.0,37885.0,0.2278,2020 ACS 5yr
2020-01-01,Arkansas,Johnson County,35.57003,-93.45992,AR,71.0,26475.0,39346.0,0.1831,2020 ACS 5yr
2020-01-01,Arkansas,Howard County,34.08873,-93.9935,AR,61.0,13267.0,38038.0,0.1925,2020 ACS 5yr
2020-01-01,Arkansas,,34.89992,-92.43887,AR,,,,,2020 ACS 5yr
2020-01-01,Arkansas,Monroe County,34.67787,-91.20389,AR,95.0,6879.0,38438.0,0.2292,2020 ACS 5yr
2020-01-01,Arkansas,Lee County,34.7805,-90.7803,AR,77.0,8963.0,27902.0,0.2704,2020 ACS 5yr
2020-01-01,Arkansas,Little River County,33.7006,-94.23417,,,,,,2020 ACS 5yr
2020-01-01,Arkansas,Polk County,34.48584,-94.22803,AR,113.0,19999.0,39084.0,0.222,2020 ACS 5yr
2020-01-01,California,Imperial County,33.03968,-115.3653,CA,25.0,180580.0,46222.0,0.2253,2020 ACS 5yr
2020-01-01,California,Colusa County,39.1776,-122.2371,CA,11.0,21491.0,59427.0,0.1192,2020 ACS 5yr
2020-01-01,California,Kings County,36.07543,-119.8154,CA,31.0,151090.0,61556.0,0.1601,2020 ACS 5yr
2020-01-01,California,Mono County,37.9388,-118.8865,CA,51.0,14395.0,64924.0,0.1207,2020 ACS 5yr
2020-01-01,California,Tulare County,36.22019,-118.8003,CA,107.0,463955.0,52534.0,0.2176,2020 ACS 5yr
2020-01-01,California,Yuba County,39.26918,-121.3513,CA,115.0,77524.0,59424.0,0.1507,2020 ACS 5yr
2020-01-01,California,San Luis Obispo County,35.38678,-120.404,,,,,,2020 ACS 5yr
2020-01-01,California,Santa Barbara County,34.72455,-120.0227,CA,83.0,444895.0,78925.0,0.1287,2020 ACS 5yr
2020-01-01,California,Tehama County,40.1257,-122.2339,CA,103.0,64176.0,48895.0,0.1882,2020 ACS 5yr
2020-01-01,California,Alameda County,37.65051,-121.9181,CA,1.0,1661584.0,104888.0,0.093,2020 ACS 5yr
2020-01-01,California,Del Norte County,41.74318,-123.8971,CA,15.0,27692.0,49981.0,0.1712,2020 ACS 5yr
2020-01-01,California,Humboldt County,40.69942,-123.8758,CA,23.0,136101.0,49235.0,0.1973,2020 ACS 5yr
2020-01-01,California,Contra Costa County,37.92362,-121.9505,CA,13.0,1147788.0,103997.0,0.0817,2020 ACS 5yr
2020-01-01,California,Alpine County,38.59733,-119.8204,CA,3.0,1159.0,85750.0,0.1199,2020 ACS 5yr
2020-01-01,California,Napa County,38.50647,-122.3306,CA,55.0,138572.0,92219.0,0.0751,2020 ACS 5yr
2020-01-01,California,Sutter County,39.03468,-121.6948,CA,101.0,96315.0,63502.0,0.131,2020 ACS 5yr
2020-01-01,California,Lake County,39.09975,-122.7532,CA,33.0,64276.0,49254.0,0.1754,2020 ACS 5yr
2020-01-01,California,Sierra County,39.58038,-120.516,CA,91.0,2898.0,52103.0,0.0944,2020 ACS 5yr
2020-01-01,California,Calaveras County,38.20473,-120.5541,,,,,,2020 ACS 5yr
2020-01-01,California,Glenn County,39.59828,-122.3924,CA,21.0,28060.0,51682.0,0.1515,2020 ACS 5yr
2020-01-01,California,Butte County,39.66705,-121.6009,CA,7.0,223344.0,54972.0,0.1822,2020 ACS 5yr
